ID	Primary_classification	Class	sMLH_GenomeWide	sMLH_Chr1	sMLH_Chr2	sMLH_Chr3	sMLH_Chr4	sMLH_Chr5	sMLH_Chr6	sMLH_Chr7	sMLH_Chr8	sMLH_Chr9	sMLH_Chr10	sMLH_Chr11	sMLH_Chr12	sMLH_Chr13	sMLH_Chr14	sMLH_Chr15	sMLH_Chr16	sMLH_Chr17
ES3207	Primary_bacterial_infection	Case	0.923907405	0.404501803072511	0.826258413284354	1.01499734471288	0.864225356746765	0.826584441577302	0.919636245338494	0.800709163076004	0.758986299056787	1.1180674073463	0.860643606864874	0.952033991683115	0.976694870166451	0.804252458448305	1.06398777481433	0.69298220269321	0.933369385889198	0.986408045261734
ES2829	Trauma	Control	0.92602636	1.4087122850394	0.882445066791485	0.735695708030657	0.977799653990335	1.01366368177676	1.04417737714848	0.999166652902935	1.12568291605959	0.924827833152016	0.891597090310629	0.737683252962032	0.92419458882807	0.835395192506343	0.913355090151988	0.949943598015087	0.918197359813029	0.755172024457987
ES3155	Trauma	Control	0.918409598	0.760906131253152	0.650390375160943	0.801350516883284	0.867920134571826	1.09733291110938	0.784959697868825	0.982549274623482	0.804745393496196	1.04049770957774	0.98137699410084	1.0319848974819	1.03190804890905	0.847856288193166	0.772128258033584	0.917177325199885	1.0729776315098	1.12577543474213
ES2868	Trauma	Control	0.981605667	1.01533538126122	0.991881959386323	0.86682807379967	0.978128632027616	0.99016634393432	0.869536093247567	0.895857263473407	0.963143208402079	0.794509612664624	0.704784852834902	1.29196539970864	1.1053332934893	1.22334565414759	0.727340529304243	0.970785504290004	1.05497927689713	1.16973039927925
ES2651	Malnutrition	Control	1.209321186	1.71842751545519	1.38682493027215	1.26673024938154	1.01430316980292	1.06807660152562	1.33758365339244	1.24388606541276	0.959141916798033	1.10011745319344	1.30079980073534	1.54790179943277	1.18423721607281	1.50551603099752	1.16356850390165	1.28776404579782	1.12466990312725	1.10107348291791
ES2692	Otostrongylis	Case	1.087103941	1.58709959520536	1.11247976336632	1.22732063439285	0.966247452940191	1.07709624860154	1.01511661011701	1.043320696095	1.08047941650308	0.90907877407313	1.17665745198706	1.11811807637127	1.13881350519726	1.26921730438064	1.061856578592	1.38710816199759	0.922544410931017	0.925614746972788
ES2805	Otostrongylis	Case	0.938248591	0.721478591307389	1.10852658887704	0.967833865529747	1.08986350039671	1.05127895339193	0.625775324116236	1.02617995413353	1.01800112753697	0.663450204081912	0.899144826089859	1.17711685646444	1.00212597199377	1.10444655795938	0.852177809614885	0.604313168371215	0.906620314579781	0.987141317724453
ES2629	Malnutrition	Control	1.088689348	1.13322880006093	1.00561674230578	1.18834394422349	0.952298143750869	0.976504903272892	1.22329869077407	1.03107024903208	1.31583016528015	1.03333689240965	1.2115326491722	1.11029241967767	0.970228928119688	1.31927111135249	1.24115579081836	0.997119346171362	0.998620739118304	1.0931997404678
ES3356	Otostrongylis	Case	0.981431155	0.695126762738626	0.969721857654259	0.943593860694491	0.961021431044251	0.943830723146904	1.03803126766673	0.924522438208911	0.823418348972147	0.98119153621037	1.17753095023198	1.19301727374518	1.12753241803123	1.07521374304327	0.966720823821865	0.887692131804432	0.888845293008989	0.982590140217003
ES3148	Malnutrition	Control	0.946026955	1.31316731959384	0.923774864180725	1.06104280881031	1.0381921396539	0.840706123152952	0.91447913278744	0.825724256375731	0.749030188305525	1.01305016470986	1.15871383833553	0.851143718026796	0.882088851781897	0.954800617055314	0.965154528917725	0.969203428934983	1.05209081809325	0.875574397312116
ES2985	Malnutrition	Control	0.964444976	0.662475037598703	0.953946832328459	0.873255394506183	1.01954042665268	1.00533916445271	0.698213516627086	1.02842694071562	0.775923609045827	1.10386103578073	0.960272074378435	0.916071819309227	0.89147346050553	1.01097742025933	1.04479812519811	1.18150535786948	0.532618980592912	0.992021948562519
ES2697	Otostrongylis	Case	0.951993982	0.963081705318332	1.09598574518105	1.06923103342488	0.838396204873035	1.04859813934756	1.23070089560461	0.89704065264004	0.922575778692842	0.617648795106975	0.80765028063255	0.834026050459463	0.841395943425633	1.11064178014331	0.920148884615343	1.02425882381886	0.899153677292361	0.968106142626338
ES3342	Otostrongylis	Case	0.926231088	0.847410325855018	0.668924888376194	0.888669128275989	0.790767212083376	0.99439823886528	1.03138911075572	0.846072113072982	1.06073049640127	0.912826705149968	1.05182479530674	0.87077906053292	0.856515675737887	1.06033464222481	1.00590910094111	0.762072447524991	1.02065248439829	1.01761661976831
ES3256	Malnutrition	Control	0.994020701	1.3839512857618	1.1182582268481	0.905124641611445	0.96756586362297	1.08060011667121	0.942132550573373	0.876491763887937	0.878825723825438	0.922071359165611	0.71496424817663	0.887583869642208	0.991934261623455	0.869214802696128	0.933515592607129	1.16837163875958	0.914970728335533	1.09737157638615
